,log2FoldChange,pvalue,padj
Os08g0214233,-3.928946164,0.00016022,0.001713484
Os02g0261000,-3.890211941,0.000920508,0.007230378
Os06g0285200,-3.887436992,1.83E-08,6.67E-07
Os02g0653000,-3.886160268,9.52E-06,0.00015691
Os04g0569300,-3.884299705,1.88E-09,9.09E-08
Os10g0555900,-3.85124039,1.73E-32,5.84E-29
Os07g0170900,-3.826636798,0.00014192,0.001552187
Os01g0756900,-3.752589797,4.46E-06,8.18E-05
Os04g0140666,-3.751728584,0.000136262,0.001497231
Os01g0944700,-3.731357883,0.000142746,0.001557623
Os03g0182000,-3.704412035,1.05E-05,0.000170054
Os07g0283050,-3.694550715,4.13E-13,4.30E-11
Os04g0496300,-3.653366964,1.18E-06,2.56E-05
Os01g0941200,-3.642010162,2.64E-25,2.50E-22
Os04g0436000,-3.613170777,0.000610974,0.00520749
Os04g0522500,-3.583698817,3.17E-05,0.000441366
Os08g0113900,-3.556270256,2.55E-05,0.00036569
Os04g0185100,-3.54756349,6.84E-06,0.000117941
Os11g0484300,-3.536889851,2.89E-16,6.09E-14
Os01g0695700,-3.497548292,9.42E-44,5.57E-40
Os01g0329900,-3.487687761,1.31E-05,0.000207049
Os06g0688200,-3.467143292,7.21E-06,0.0001234
Os05g0503500,-3.461932056,1.04E-06,2.31E-05
Os04g0104900,-3.45905424,0.000407264,0.003717917
Os10g0159600,-3.455508396,5.68E-05,0.000727237
Os10g0207500,-3.45522747,1.57E-06,3.27E-05
Os10g0577500,-3.448600485,8.40E-14,9.98E-12
Os03g0111200,-3.427814596,1.67E-27,2.82E-24
Os03g0103200,-3.423838897,1.42E-05,0.000221307
Os03g0416200,-3.417003292,1.91E-11,1.42E-09
Os05g0130600,-3.411874073,0.00090119,0.007104608
Os03g0269300,-3.382060234,7.27E-14,8.81E-12
Os04g0611400,-3.347531737,0.000177454,0.001869043
Os01g0341000,-3.347337495,0.000522886,0.004575492
Os02g0288100,-3.317280752,2.26E-06,4.50E-05
Os06g0624700,-3.292174927,0.001051266,0.008069125
Os09g0514500,-3.290275939,8.32E-14,9.98E-12
Os07g0603700,-3.287542278,1.52E-05,0.00023589
Os02g0695600,-3.286717735,4.74E-05,0.000623237
Os04g0474800,-3.282211187,2.57E-14,3.45E-12
Os09g0125400,-3.280944813,0.001139324,0.008575773
Os01g0905400,-3.279745205,7.23E-12,5.91E-10
Os12g0637400,-3.279048268,6.04E-06,0.000105658
Os01g0800701,-3.235969003,2.35E-10,1.36E-08
Os01g0936700,-3.234006555,0.000406848,0.003715552
Os04g0413500,-3.161886168,2.06E-31,5.40E-28
Os05g0556400,-3.155686992,5.71E-17,1.28E-14
Os03g0705800,-3.15560738,1.71E-09,8.34E-08
Os08g0266700,-3.146766057,0.000965077,0.007520472
Os05g0579600,-3.145439983,2.02E-07,5.65E-06
Os03g0656100,-3.125142562,0.000378467,0.003515341
Os02g0234450,-3.109381912,0.000974358,0.007580298
Os09g0541000,-3.10584897,1.17E-06,2.55E-05
Os03g0214100,-3.093144326,4.69E-05,0.000617001
Os04g0602500,-3.086626223,3.26E-05,0.000450895
Os07g0498400,-3.064696845,5.43E-05,0.000700328
Os09g0472700,-3.054733024,9.32E-19,3.19E-16
Os11g0558300,-3.049674422,5.86E-08,1.91E-06
Os01g0382400,-3.03513465,4.84E-22,3.09E-19
Os08g0493800,-3.01874656,0.00052756,0.004604458
Os07g0604100,-2.999042589,4.25E-05,0.000565785
Os08g0503000,-2.998058994,1.09E-08,4.19E-07
Os07g0578300,-2.997238343,8.70E-11,5.68E-09
Os09g0460100,-2.984823842,2.48E-15,4.12E-13
Os02g0629800,-2.978574392,2.10E-06,4.21E-05
Os03g0817800,-2.977987305,1.21E-21,6.64E-19
Os07g0480800,-2.975773965,8.57E-08,2.67E-06
Os01g0877400,-2.965151158,5.43E-05,0.000700328
Os10g0150400,-2.949189392,2.90E-07,7.72E-06
Os03g0619875,-2.944886072,2.34E-06,4.64E-05
Os01g0544450,-2.94150368,4.21E-11,2.97E-09
Os05g0541750,-2.936024879,9.47E-12,7.56E-10
Os03g0186900,-2.922045981,1.62E-07,4.62E-06
Os01g0265100,-2.917097351,1.25E-15,2.28E-13
Os10g0571600,-2.912183339,4.96E-06,8.91E-05
Os04g0666800,-2.873219998,1.46E-12,1.37E-10
Os10g0150800,-2.870887017,9.75E-05,0.001121981
Os01g0832100,-2.870092725,0.000518318,0.004544088
Os01g0805900,-2.868166753,2.09E-27,3.09E-24
Os04g0243700,-2.865843456,0.000766085,0.006222136
Os02g0299200,-2.86536215,1.55E-05,0.000240005
Os05g0565100,-2.864336592,0.000598576,0.005120188
Os01g0566800,-2.861264785,0.000446852,0.004005066
Os02g0785200,-2.846994315,0.001180934,0.008808578
Os01g0117450,-2.839934057,2.29E-06,4.55E-05
Os04g0463000,-2.818704041,8.15E-09,3.29E-07
Os02g0640300,-2.799773136,4.28E-09,1.88E-07
Os01g0788800,-2.797414572,1.64E-05,0.000251772
Os04g0196200,-2.778519787,0.000803307,0.006484348
Os11g0221300,-2.777109888,7.50E-06,0.000127559
Os04g0578300,-2.7672871,0.000150389,0.001623771
Os09g0272600,-2.754172806,8.19E-11,5.41E-09
Os11g0210600,-2.738256554,4.71E-17,1.11E-14
Os04g0494100,-2.708747095,1.01E-14,1.44E-12
Os07g0174700,-2.708709796,2.28E-19,8.96E-17
Os04g0128900,-2.680567826,0.000351759,0.003305717
Os04g0465600,-2.679815228,3.56E-27,4.46E-24
Os05g0319200,-2.676288765,1.38E-06,2.94E-05
Os10g0463200,-2.674561396,7.47E-05,0.000903086
Os04g0101400,-2.656972016,0.000189026,0.001975084
Os07g0616200,-2.656408807,1.37E-17,3.49E-15
Os07g0664000,-2.653423708,0.000118475,0.001325828
Os03g0371400,-2.650896566,4.82E-10,2.62E-08
Os07g0663700,-2.626867122,4.08E-05,0.000546707
Os03g0369100,-2.618486151,0.000272493,0.002680142
Os12g0555600,-2.615874394,3.81E-07,9.83E-06
Os12g0596300,-2.608336759,6.40E-05,0.000800746
Os07g0417200,-2.604717746,1.55E-07,4.44E-06
Os02g0792600,-2.604482122,0.00033172,0.003143626
Os06g0142350,-2.602615032,0.000157883,0.001693857
Os01g0106400,-2.593648164,1.92E-14,2.59E-12
Os01g0168800,-2.588737456,2.30E-22,1.51E-19
Os10g0530750,-2.582319448,0.001320959,0.00965992
Os03g0113000,-2.552301351,7.75E-09,3.16E-07
Os06g0513050,-2.540461478,3.87E-16,7.93E-14
Os07g0421300,-2.525009854,3.95E-05,0.000532838
Os05g0517400,-2.517669567,0.000619987,0.005257323
Os08g0157550,-2.509745624,0.000363476,0.003399589
Os02g0782800,-2.494687037,6.95E-05,0.000852596
Os06g0643500,-2.483052316,1.31E-05,0.00020705
Os02g0642200,-2.481972258,0.00057815,0.004979805
Os08g0113100,-2.481181626,4.13E-15,6.55E-13
Os05g0588300,-2.480206247,0.000382102,0.003536016
Os12g0637200,-2.477902467,0.000816029,0.006564614
Os04g0613700,-2.464564779,7.52E-22,4.33E-19
Os12g0225900,-2.45938459,1.73E-05,0.000265422
Os05g0235800,-2.457475454,1.07E-06,2.37E-05
Os05g0390300,-2.447963703,3.52E-25,3.08E-22
Os10g0510000,-2.447660828,1.81E-17,4.50E-15
Os03g0780800,-2.443137219,8.86E-21,4.36E-18
Os01g0382200,-2.430749125,0.00117146,0.008759083
Os01g0660200,-2.429098657,0.000188198,0.001969039
Os01g0176100,-2.428343364,0.000759227,0.006187701
Os05g0476200,-2.416163238,1.51E-06,3.17E-05
Os01g0702450,-2.415792784,6.76E-05,0.000836769
Os09g0364800,-2.404754085,2.11E-05,0.000313529
Os02g0570700,-2.397724201,0.000172346,0.001823365
Os07g0604700,-2.394538532,8.67E-05,0.001020874
Os11g0599000,-2.393770451,7.69E-05,0.000924099
Os08g0524400,-2.392140521,4.27E-11,3.00E-09
Os12g0601000,-2.390748997,0.000806366,0.006506817
Os04g0348600,-2.389571985,0.000236392,0.002374953
Os01g0697100,-2.380267102,0.000577682,0.004977582
Os07g0681400,-2.375083454,6.21E-07,1.49E-05
Os06g0671800,-2.370459491,0.000246462,0.002463054
Os01g0551100,-2.370409509,2.36E-09,1.11E-07
Os01g0378100,-2.367256162,6.56E-07,1.55E-05
Os04g0370100,-2.363572274,2.13E-06,4.27E-05
Os03g0256800,-2.362201103,2.09E-10,1.23E-08
Os01g0249200,-2.359591984,1.65E-21,8.86E-19
Os01g0965800,-2.354658428,3.26E-05,0.000451092
Os07g0503900,-2.350407806,0.000252864,0.002517338
Os03g0165400,-2.343163214,2.28E-17,5.55E-15
Os10g0163130,-2.340646545,8.97E-08,2.76E-06
Os01g0855400,-2.338568135,4.36E-06,8.03E-05
Os02g0636600,-2.337562809,2.47E-08,8.70E-07
Os01g0546400,-2.334019348,0.000894077,0.007069762
Os08g0512600,-2.322827506,2.43E-05,0.000351694
Os05g0548900,-2.321637636,0.000644052,0.00541714
Os03g0367150,-2.319531674,8.33E-11,5.48E-09
Os10g0395000,-2.317128637,0.000684411,0.0056978
Os04g0380800,-2.309835465,7.14E-11,4.79E-09
Os02g0772000,-2.303579852,6.66E-06,0.000114989
Os02g0797400,-2.29986739,7.41E-07,1.71E-05
Os03g0788700,-2.298340863,3.09E-05,0.00043241
Os12g0632900,-2.288308857,9.43E-05,0.001090996
Os10g0340450,-2.281911707,0.000161337,0.001723088
Os12g0629600,-2.278476444,0.001176043,0.008782238
Os01g0566500,-2.277976842,7.34E-06,0.000125421
Os06g0553200,-2.271762149,2.23E-19,8.95E-17
Os02g0285300,-2.260028153,1.05E-17,2.75E-15
Os03g0859100,-2.250161699,0.000610178,0.00520258
Os11g0242600,-2.243898264,3.36E-09,1.52E-07
Os06g0160200,-2.243123994,2.49E-09,1.16E-07
Os04g0685400,-2.239109796,1.17E-15,2.15E-13
Os03g0637600,-2.228769174,1.46E-13,1.65E-11
Os04g0631200,-2.22362627,2.03E-06,4.09E-05
Os03g0856300,-2.21959151,1.48E-10,9.02E-09
Os09g0469300,-2.218536458,5.70E-07,1.38E-05
Os11g0126400,-2.218185984,4.65E-06,8.47E-05
Os08g0139200,-2.217703763,1.09E-07,3.27E-06
Os04g0497300,-2.213319313,9.65E-08,2.94E-06
Os10g0150700,-2.205317634,0.00082129,0.006598209
Os08g0416800,-2.2007836,6.73E-07,1.58E-05
Os04g0512300,-2.189821695,1.32E-09,6.67E-08
Os01g0333600,-2.18923786,0.00021044,0.002159682
Os05g0406100,-2.188425777,0.000473685,0.004208855
Os09g0465400,-2.185880577,0.00075264,0.006146734
Os09g0326100,-2.166046562,2.47E-09,1.16E-07
Os03g0367101,-2.165335515,7.87E-10,4.12E-08
Os04g0110200,-2.159367534,2.36E-06,4.66E-05
Os04g0655700,-2.146360893,9.17E-11,5.92E-09
Os01g0547600,-2.145635061,8.78E-07,1.99E-05
Os11g0575900,-2.144597753,0.000127099,0.001407015
Os03g0725200,-2.141792922,1.80E-06,3.71E-05
Os05g0207500,-2.137499237,0.000121988,0.00135999
Os03g0246500,-2.131944537,1.18E-26,1.33E-23
Os07g0604800,-2.129165501,4.80E-15,7.46E-13
Os08g0269600,-2.12638947,0.000298981,0.002881896
Os03g0232800,-2.123004885,3.48E-13,3.69E-11
Os06g0266800,-2.11865343,7.58E-09,3.10E-07
Os02g0571100,-2.117658768,5.62E-24,4.43E-21
Os09g0487200,-2.115697191,6.75E-10,3.58E-08
Os07g0241500,-2.113181744,0.000119976,0.001339455
Os07g0650600,-2.110616682,8.66E-10,4.48E-08
Os01g0633500,-2.099793842,2.64E-05,0.000377458
Os02g0569000,-2.092641506,0.00010449,0.00119075
Os10g0544200,-2.085486597,5.37E-05,0.000694842
Os05g0586400,-2.085431112,4.14E-07,1.05E-05
Os03g0807700,-2.081631748,6.18E-06,0.000107688
Os03g0103300,-2.079043091,1.40E-18,4.63E-16
Os09g0472900,-2.074643005,0.000412757,0.003760796
Os02g0758800,-2.074373069,9.53E-07,2.14E-05
Os07g0111400,-2.07128661,0.001120752,0.008478081
Os06g0247900,-2.066815314,0.000142812,0.001557625
Os01g0670100,-2.065983825,2.03E-08,7.31E-07
Os10g0554800,-2.065881981,8.55E-05,0.00100961
Os03g0401300,-2.065438991,2.62E-13,2.87E-11
Os03g0355700,-2.06280016,1.11E-06,2.44E-05
Os05g0217000,-2.061341087,3.31E-18,9.53E-16
Os08g0249100,-2.056197719,1.46E-10,8.92E-09
Os03g0367200,-2.054660609,0.000235102,0.002364531
Os07g0282300,-2.054074342,0.000135499,0.001490234
Os03g0856700,-2.041350178,5.72E-09,2.41E-07
Os03g0215700,-2.0400854,9.93E-12,7.90E-10
Os02g0715300,-2.037442138,3.08E-11,2.23E-09
Os02g0107900,-2.035224447,2.04E-05,0.000304467
Os09g0132900,-2.025422149,1.35E-05,0.00021172
Os04g0627400,-2.021989743,5.85E-05,0.000744571
Os03g0766200,-2.020191011,0.000626331,0.005296364
Os08g0502400,-2.019167476,7.02E-23,4.74E-20
Os12g0173400,-2.019156142,0.000322848,0.003074344
Os01g0756700,-2.011310876,0.001071533,0.008182771
Os01g0241400,-2.003601269,0.00113255,0.00854383
Os04g0179100,-1.991608774,0.000195553,0.002036979
Os07g0598000,-1.990763186,6.75E-15,1.01E-12
Os06g0148200,-1.984269912,3.72E-05,0.000504051
Os08g0142900,-1.984048523,2.22E-06,4.44E-05
Os04g0509400,-1.981454396,4.69E-06,8.52E-05
Os08g0471800,-1.979447441,0.001157818,0.008681795
Os03g0301800,-1.978530843,1.04E-07,3.15E-06
Os07g0109400,-1.978355465,1.82E-10,1.08E-08
Os05g0202800,-1.972810229,3.99E-14,5.24E-12
Os06g0234200,-1.97142068,1.29E-17,3.33E-15
Os12g0599800,-1.971206792,2.34E-07,6.37E-06
Os09g0298500,-1.970514638,5.09E-23,3.54E-20
Os01g0957100,-1.967787701,5.53E-07,1.35E-05
Os02g0628200,-1.967423865,1.90E-05,0.00028778
Os05g0568600,-1.967169149,7.27E-05,0.000884009
Os09g0508250,-1.961142924,5.28E-15,8.11E-13
Os03g0261800,-1.954844544,7.79E-12,6.30E-10
Os03g0661300,-1.950793289,0.000157307,0.001689983
Os12g0603700,-1.948590895,0.00030422,0.00292643
Os12g0555300,-1.947420753,4.72E-14,6.00E-12
Os01g0776500,-1.946427138,1.16E-07,3.44E-06
Os01g0717700,-1.938819867,9.04E-16,1.70E-13
Os12g0628400,-1.938349466,0.000166467,0.001771474
Os03g0184300,-1.935598426,1.00E-17,2.66E-15
Os04g0613200,-1.934508031,2.16E-05,0.000319387
Os05g0127500,-1.933778884,8.46E-07,1.93E-05
Os04g0339400,-1.933207535,5.39E-06,9.56E-05
Os08g0529000,-1.931120424,6.21E-14,7.65E-12
Os12g0638100,-1.926405276,1.31E-08,4.95E-07
Os11g0143600,-1.922846612,0.000798737,0.006456717
Os09g0572500,-1.91561595,9.42E-27,1.11E-23
Os03g0421800,-1.908104283,7.45E-07,1.72E-05
Os04g0178300,-1.907221898,2.95E-17,7.05E-15
Os05g0587300,-1.902938892,0.00055927,0.004840108
Os01g0372500,-1.901688744,2.57E-07,6.94E-06
Os01g0618700,-1.900069015,0.001191115,0.008866772
Os10g0395400,-1.89993601,1.32E-07,3.87E-06
Os07g0167700,-1.899306507,6.69E-05,0.000831397
Os01g0112000,-1.898988998,0.000134298,0.001478407
Os05g0137500,-1.890999034,0.001186192,0.008835693
Os04g0165700,-1.880871923,2.68E-07,7.22E-06
Os11g0477400,-1.877263735,1.37E-09,6.90E-08
Os01g0217000,-1.876211074,4.24E-05,0.000565035
Os06g0153200,-1.874337229,1.15E-06,2.52E-05
Os05g0114000,-1.867309335,1.40E-05,0.000219211
Os03g0815700,-1.866187527,1.04E-16,2.32E-14
Os06g0179100,-1.860273953,6.15E-05,0.000774796
Os11g0167800,-1.857868316,0.001032389,0.007945466
Os06g0714800,-1.85128208,8.79E-08,2.72E-06
Os08g0171600,-1.850375264,7.01E-06,0.000120434
Os01g0713800,-1.840595951,0.001365365,0.009892829
Os08g0158200,-1.836498119,0.000365383,0.003412563
Os01g0612500,-1.834801368,5.38E-11,3.68E-09
Os09g0372700,-1.834082099,6.84E-05,0.000844191
Os04g0382800,-1.833220189,0.000369762,0.003448822
Os01g0963000,-1.831087312,0.000659481,0.005523328
Os12g0554800,-1.830819699,0.000190919,0.001993975
Os02g0115700,-1.830730684,1.41E-18,4.63E-16
Os01g0734800,-1.825326241,6.95E-07,1.62E-05
Os07g0188000,-1.820058171,4.33E-06,7.99E-05
Os07g0287400,-1.819491389,0.000482579,0.004279835
Os03g0693600,-1.816566435,0.000793868,0.006430116
Os02g0178300,-1.814237598,9.73E-05,0.001119607
Os08g0247700,-1.81301845,0.001165484,0.008728201
Os06g0343900,-1.80916571,8.81E-09,3.50E-07
Os09g0565300,-1.801865199,0.000112227,0.0012655
Os08g0270000,-1.801820427,2.44E-11,1.78E-09
Os03g0785800,-1.798842952,1.19E-05,0.000189846
Os11g0275200,-1.797953948,1.82E-12,1.68E-10
Os03g0371350,-1.796715992,1.59E-05,0.000244511
Os07g0190000,-1.796180444,8.55E-11,5.60E-09
Os02g0768400,-1.795495927,1.98E-05,0.000297781
Os05g0436100,-1.79529584,4.76E-09,2.05E-07
Os03g0267500,-1.794022624,0.000441726,0.003972681
Os04g0458800,-1.792537352,4.36E-09,1.91E-07
Os01g0309800,-1.787833401,7.48E-05,0.000903699
Os08g0193100,-1.787501582,0.000144335,0.001571333
Os05g0501300,-1.784905449,0.000536111,0.004665312
Os09g0338500,-1.783160241,1.00E-08,3.92E-07
Os04g0678700,-1.781897005,9.72E-06,0.000159748
Os12g0555500,-1.777670058,1.52E-14,2.14E-12
Os09g0375600,-1.776863389,7.44E-05,0.000899869
Os08g0277300,-1.775094489,3.29E-05,0.000455044
Os02g0613900,-1.773877129,7.68E-10,4.05E-08
Os01g0899200,-1.773108553,5.25E-07,1.30E-05
Os03g0332900,-1.768785055,1.14E-09,5.83E-08
Os07g0416900,-1.767527127,0.000136763,0.001501348
Os11g0496500,-1.763698825,2.91E-07,7.75E-06
Os01g0694800,-1.757651681,0.000897345,0.007090858
Os02g0184700,-1.753661389,3.37E-10,1.89E-08
Os02g0569400,-1.750486675,4.14E-06,7.69E-05
Os11g0523700,-1.746145437,5.42E-14,6.78E-12
Os08g0115800,-1.739356209,1.15E-06,2.52E-05
Os01g0201600,-1.737628824,0.000223905,0.002270273
Os06g0142300,-1.737401863,3.89E-09,1.73E-07
Os08g0230100,-1.734224345,0.000927834,0.007273419
Os06g0601500,-1.730144438,0.001341822,0.009758143
Os03g0102366,-1.726615269,0.000572794,0.00494087
Os05g0409500,-1.724384785,7.70E-10,4.05E-08
Os02g0168400,-1.723809597,0.000168753,0.001789357
Os02g0504000,-1.72356644,1.10E-10,7.07E-09
Os10g0416500,-1.721221484,5.39E-07,1.32E-05
Os02g0543000,-1.719259479,9.03E-08,2.77E-06
Os02g0157900,-1.718960799,0.001072262,0.008185697
Os07g0590700,-1.714731873,2.07E-06,4.16E-05
Os07g0462200,-1.711697647,2.23E-10,1.30E-08
Os06g0523300,-1.711503235,1.51E-07,4.34E-06
Os12g0197700,-1.710115622,1.92E-12,1.75E-10
Os04g0454200,-1.710020037,8.05E-05,0.000961005
Os03g0102700,-1.706939267,2.22E-05,0.000326183
Os03g0638900,-1.706601958,2.98E-05,0.0004182
Os01g0824800,-1.704078613,0.000213727,0.002185503
Os07g0112700,-1.703560336,6.70E-08,2.15E-06
Os02g0602900,-1.701041857,0.000432231,0.003908105
Os06g0156700,-1.69914135,2.49E-05,0.00035791
Os03g0275100,-1.697565131,6.45E-07,1.53E-05
Os07g0194300,-1.695505498,0.001061131,0.008126973
Os03g0588800,-1.692040461,7.14E-05,0.000870861
Os04g0105200,-1.690994918,6.49E-07,1.54E-05
Os04g0576900,-1.689842192,0.000423152,0.003837758
Os09g0548200,-1.68902109,2.13E-05,0.000315692
Os03g0102500,-1.688578544,0.000761939,0.006199111
Os01g0223900,-1.687454619,0.00068348,0.005694058
Os04g0635350,-1.687370763,6.58E-07,1.55E-05
Os03g0320600,-1.686159806,4.46E-06,8.18E-05
Os01g0166800,-1.683577191,1.23E-06,2.66E-05
Os05g0419500,-1.682817562,9.99E-16,1.85E-13
Os10g0479500,-1.682073147,0.000951438,0.007426436
Os01g0108800,-1.676987002,1.15E-06,2.52E-05
Os03g0665200,-1.674074824,0.000532298,0.004638963
Os05g0132100,-1.67407475,2.10E-08,7.55E-07
Os01g0282800,-1.673674437,2.18E-11,1.61E-09
Os04g0677100,-1.671716515,1.12E-10,7.16E-09
Os03g0620400,-1.661477585,1.28E-05,0.00020287
Os04g0675400,-1.659306749,0.000927495,0.007273172
Os09g0533900,-1.658760774,1.79E-21,9.38E-19
Os09g0484200,-1.658507586,4.69E-14,5.99E-12
Os04g0635100,-1.654388283,4.13E-06,7.69E-05
Os03g0802600,-1.652888565,1.07E-07,3.24E-06
Os01g0140100,-1.651958581,0.000255998,0.002541166
Os09g0500900,-1.649487724,0.000142527,0.001555949
Os02g0487300,-1.645629215,5.54E-10,2.97E-08
Os03g0207200,-1.644666115,4.49E-05,0.000593669
Os01g0110700,-1.644337842,2.20E-12,1.99E-10
Os06g0142400,-1.643880438,2.42E-06,4.77E-05
Os11g0118600,-1.639232829,1.77E-05,0.000270412
Os08g0331000,-1.638093903,0.000368274,0.0034363
Os01g0826000,-1.635327188,2.20E-11,1.61E-09
Os01g0897300,-1.628184773,0.000127379,0.0014088
Os04g0179700,-1.62775803,1.07E-07,3.24E-06
Os02g0639600,-1.626964063,0.000288289,0.002801687
Os07g0616500,-1.626683631,3.40E-15,5.42E-13
Os11g0244300,-1.626115511,1.72E-05,0.000263315
Os04g0227500,-1.624635268,2.32E-06,4.61E-05
Os05g0459700,-1.621526464,6.29E-05,0.000788532
Os03g0185800,-1.613226434,0.000949283,0.007416465
Os03g0736300,-1.608860951,6.73E-22,4.18E-19
Os11g0169800,-1.602732174,1.86E-08,6.77E-07
Os05g0105000,-1.596569155,6.86E-05,0.000845657
Os07g0575700,-1.593231439,2.41E-05,0.000349154
Os05g0156900,-1.589354252,2.23E-08,7.97E-07
Os06g0554300,-1.588704452,3.34E-07,8.77E-06
Os03g0307200,-1.587450789,3.97E-06,7.42E-05
Os06g0612900,-1.580531319,4.36E-07,1.10E-05
Os03g0258900,-1.573002988,4.00E-05,0.000536796
Os09g0415800,-1.569950018,3.92E-07,1.01E-05
Os03g0584300,-1.569536917,1.73E-05,0.000265422
Os04g0361500,-1.569103353,3.74E-07,9.66E-06
Os01g0668100,-1.568565748,3.84E-05,0.00051944
Os05g0153000,-1.567849757,9.60E-06,0.000157951
Os12g0508400,-1.567749176,7.94E-05,0.000950949
Os08g0519100,-1.564751498,0.000491527,0.004342893
Os01g0813000,-1.563000459,0.000199812,0.002071296
Os06g0513862,-1.558310078,0.0003493,0.003286509
Os03g0738600,-1.557787922,0.000559167,0.004840108
Os06g0513781,-1.55764419,0.000350065,0.003292399
Os06g0104300,-1.553275554,1.45E-05,0.000225027
Os01g0814100,-1.552809663,0.001114403,0.00844196
Os07g0659800,-1.549452518,0.000287164,0.002791907
Os06g0693100,-1.546355045,0.000354953,0.003331734
Os04g0678300,-1.546303562,1.53E-06,3.20E-05
Os03g0116400,-1.543105236,0.000105543,0.001199858
Os01g0896200,-1.541623649,1.87E-07,5.28E-06
Os05g0593200,-1.539761442,2.60E-11,1.89E-09
Os03g0859900,-1.537447277,2.40E-05,0.000348674
Os07g0501800,-1.534579472,0.000210342,0.002159617
Os08g0160500,-1.530672246,2.43E-15,4.08E-13
Os09g0451000,-1.529983463,1.25E-05,0.000197657
Os05g0481100,-1.528147662,5.16E-19,1.85E-16
Os03g0597600,-1.527191259,5.71E-08,1.86E-06
Os01g0357900,-1.526845541,1.67E-09,8.17E-08
Os03g0363600,-1.524772399,3.20E-06,6.13E-05
Os02g0306401,-1.524678421,1.09E-05,0.000175332
Os12g0116900,-1.51739884,0.000306608,0.002943415
Os09g0494200,-1.515193625,3.01E-18,8.90E-16
Os03g0771500,-1.509600715,0.000101059,0.001158352
Os12g0263200,-1.509405283,9.12E-09,3.62E-07
Os04g0471700,-1.508669294,6.05E-05,0.000764753
Os03g0788600,-1.507311654,3.17E-05,0.000442135
Os03g0858700,-1.506471012,0.000255762,0.002539892
Os06g0126500,-1.502572682,4.59E-07,1.15E-05
Os02g0736200,-1.501383281,8.14E-06,0.000136911
Os01g0711600,-1.501098216,4.78E-06,8.64E-05
Os04g0662600,-1.498614555,4.52E-07,1.14E-05
Os01g0974200,-1.494512857,6.41E-12,5.39E-10
Os01g0763900,-1.494427843,2.58E-08,9.06E-07
Os05g0227600,-1.494237176,1.27E-17,3.30E-15
Os12g0240900,-1.489846719,0.000291922,0.002826533
Os01g0607900,-1.488235837,2.16E-08,7.77E-07
Os12g0601800,-1.487848264,1.26E-10,7.92E-09
Os11g0215100,-1.484532057,2.62E-07,7.06E-06
Os03g0724100,-1.483060331,4.14E-05,0.000552813
Os05g0134400,-1.479048933,1.34E-12,1.27E-10
Os03g0808200,-1.477953151,3.79E-08,1.29E-06
Os03g0861100,-1.475251732,2.57E-15,4.22E-13
Os12g0169000,-1.474757204,5.29E-09,2.25E-07
Os08g0549300,-1.472223563,0.000716476,0.005914741
Os06g0708200,-1.471651322,6.35E-05,0.000795125
Os11g0252400,-1.462900554,3.39E-18,9.66E-16
Os01g0777900,-1.462658768,7.77E-07,1.78E-05
Os11g0530600,-1.462638217,1.08E-10,6.95E-09
Os07g0644200,-1.461628607,0.001379941,0.009973975
Os08g0203700,-1.460974388,0.001155696,0.008668639
Os03g0411600,-1.459615355,0.000364753,0.003408837
Os06g0647400,-1.458948598,2.56E-06,5.02E-05
Os09g0277800,-1.454692755,7.28E-09,3.01E-07
Os03g0236200,-1.447260698,0.00054562,0.004727177
Os08g0525000,-1.446619274,1.08E-07,3.26E-06
Os08g0420600,-1.445012791,1.71E-06,3.53E-05
Os04g0557500,-1.444429038,1.34E-09,6.74E-08
Os11g0678200,-1.442949666,0.000615888,0.005235021
Os03g0349200,-1.442267437,6.33E-05,0.000793853
Os03g0669100,-1.441593717,0.000234462,0.002360097
Os12g0434400,-1.441171633,1.14E-05,0.00018326
Os05g0123200,-1.438302315,1.96E-11,1.45E-09
Os02g0575200,-1.438263494,3.83E-05,0.000517971
Os11g0133800,-1.436641264,6.73E-05,0.000834159
Os01g0843300,-1.434949442,3.53E-05,0.000481891
Os08g0523600,-1.43487925,9.55E-05,0.001102176
Os03g0823800,-1.434493934,2.77E-05,0.000392801
Os09g0539800,-1.432952903,1.94E-08,7.03E-07
Os02g0634700,-1.42842058,1.42E-05,0.000221307
Os06g0227250,-1.427823576,2.74E-05,0.000389233
Os03g0307300,-1.426143499,0.000243011,0.002431657
Os03g0726100,-1.423440401,1.78E-14,2.43E-12
Os03g0776150,-1.414997391,0.001348765,0.009796575
Os12g0263000,-1.414715427,0.000219522,0.002234457
Os12g0555000,-1.414428427,1.90E-10,1.12E-08
Os01g0929200,-1.413508204,8.62E-05,0.001016525
Os09g0435250,-1.408629268,0.000105691,0.00120097
Os03g0721900,-1.408570426,6.71E-05,0.000833182
Os07g0553000,-1.408427559,0.000161843,0.001726931
Os01g0856500,-1.407967076,0.001295428,0.009499673
Os06g0274500,-1.406542036,2.49E-05,0.00035791
Os06g0625700,-1.405389312,0.000987636,0.007658392
Os06g0214800,-1.40374763,4.08E-10,2.26E-08
Os12g0127650,-1.40324064,0.001287127,0.009447591
Os12g0153700,-1.398821727,1.92E-05,0.000289563
Os01g0926700,-1.397175916,1.26E-12,1.20E-10
Os03g0114800,-1.396963323,7.22E-06,0.000123437
Os07g0605400,-1.389976866,3.53E-06,6.68E-05
